image_name,image_url,label,_split
n02472987_0.jpg,http://farm1.static.flickr.com/35/98550646_41606c9a4a.jpg,1,train
n02472987_1.jpg,http://farm1.static.flickr.com/11/17622941_5e13d97ab0.jpg,1,train
n02472987_2.jpg,http://farm1.static.flickr.com/12/17708424_643eae192e.jpg,1,train
n02472987_3.jpg,http://farm3.static.flickr.com/2178/2069319405_c0417c7eb5.jpg,1,train
n02472987_4.jpg,http://images.jupiterimages.com/common/detail/63/46/23464663.jpg,1,train
n02472987_5.jpg,http://farm1.static.flickr.com/27/42196637_5a9c1c6e57.jpg,1,train
n02472987_6.jpg,http://farm1.static.flickr.com/34/123606766_7f371643cf.jpg,1,train
n02472987_7.jpg,http://farm2.static.flickr.com/1252/922108109_08f18bd49f.jpg,1,train
n02472987_8.jpg,http://farm3.static.flickr.com/2316/1848928361_bcd30fb70c.jpg,1,train
n02472987_9.jpg,http://farm1.static.flickr.com/36/85551404_eafee29fdd.jpg,1,train
n02472987_10.jpg,http://farm2.static.flickr.com/1293/533591578_2fc8b3c64a.jpg,1,train
n02472987_11.jpg,http://farm3.static.flickr.com/2089/2070072544_264edf149e.jpg,1,train
n02472987_12.jpg,http://farm1.static.flickr.com/15/89916065_1162004ef9.jpg,1,train
n02472987_13.jpg,http://farm1.static.flickr.com/41/98562747_5eae3e8dcf.jpg,1,train
n02472987_14.jpg,http://farm1.static.flickr.com/170/436604228_45efa483cc.jpg,1,train
n02472987_15.jpg,http://farm1.static.flickr.com/92/242512120_f7aec45343.jpg,1,train
n02472987_16.jpg,http://farm1.static.flickr.com/187/434904190_4148669863.jpg,1,train
n02472987_17.jpg,http://farm3.static.flickr.com/2357/2112158524_b7debed63b.jpg,1,train
n02472987_18.jpg,http://farm2.static.flickr.com/1164/1476122270_0be979016c.jpg,1,train
n02472987_19.jpg,http://farm1.static.flickr.com/151/347629441_ba1c2788e1.jpg,1,train
n02472987_20.jpg,http://www.spunk.nl/upload/vm-vrienden.jpg,1,train
n02472987_21.jpg,http://www.swing-time.nl/images/story/johnny-en-Jamiro2.jpg,1,train
n02472987_22.jpg,http://farm1.static.flickr.com/79/275902085_a80fcea03a.jpg,1,train
n02472987_23.jpg,http://farm3.static.flickr.com/2059/2070077130_6a76a8948b.jpg,1,train
n02472987_24.jpg,http://farm2.static.flickr.com/1181/1455914801_3da3442150.jpg,1,train
n02472987_25.jpg,http://farm2.static.flickr.com/1166/1084613054_9bdd5d97cc.jpg,1,train
